year,data,cpi_can
2000,1/1/00,75.26522987
2000,2/1/00,75.82571562
2000,3/1/00,76.14599319
2000,4/1/00,75.90578501
2000,5/1/00,76.30613198
2000,6/1/00,77.02675652
2000,7/1/00,77.02675652
2000,8/1/00,76.94668713
2000,9/1/00,77.18689531
2000,10/1/00,77.2669647
2000,11/1/00,77.3470341
2000,12/1/00,77.42710349
2001,1/1/01,77.50717288
2001,2/1/01,77.90751985
2001,3/1/01,78.06765864
2001,4/1/01,78.78828318
2001,5/1/01,79.10856075
2001,6/1/01,78.70821379
2001,7/1/01,78.78828318
2001,8/1/01,78.86835257
2001,9/1/01,78.78828318
2001,10/1/01,78.4680056
2001,11/1/01,78.30786682
2001,12/1/01,78.548075
2002,1/1/02,78.548075
2002,2/1/02,79.18863015
2002,3/1/02,79.26869954
2002,4/1/02,79.66904651
2002,5/1/02,79.50890772
2002,6/1/02,79.90925469
2002,7/1/02,80.54980984
2002,8/1/02,80.62987923
2002,9/1/02,80.54980984
2002,10/1/02,80.87008741
2002,11/1/02,81.0302262
2002,12/1/02,81.11029559
2003,1/1/03,81.51064256
2003,2/1/03,82.39140589
2003,3/1/03,82.47147528
2003,4/1/03,81.83092013
2003,5/1/03,81.91098952
2003,6/1/03,81.75085074
2003,7/1/03,81.91098952
2003,8/1/03,81.99105892
2003,9/1/03,81.91098952
2003,10/1/03,81.91098952
2003,11/1/03,82.1511977
2003,12/1/03,82.1511977
2004,1/1/04,82.55154467
2004,2/1/04,82.87182225
2004,3/1/04,83.03196103
2004,4/1/04,83.03196103
2004,5/1/04,83.75258557
2004,6/1/04,83.75258557
2004,7/1/04,83.59244679
2004,8/1/04,83.59244679
2004,9/1/04,83.83265497
2004,10/1/04,84.31307133
2004,11/1/04,84.31307133
2004,12/1/04,84.15293254
2005,1/1/05,84.15293254
2005,2/1/05,84.39314072
2005,3/1/05,85.03369587
2005,4/1/05,85.03369587
2005,5/1/05,85.19383466
2005,6/1/05,85.43404284
2005,7/1/05,85.51411223
2005,8/1/05,85.9144592
2005,9/1/05,86.63508374
2005,10/1/05,86.07459798
2005,11/1/05,86.07459798
2005,12/1/05,85.9144592
2006,1/1/06,86.39487556
2006,2/1/06,86.39487556
2006,3/1/06,86.63508374
2006,4/1/06,87.19556949
2006,5/1/06,87.27563889
2006,6/1/06,87.1155001
2006,7/1/06,87.19556949
2006,8/1/06,87.19556949
2006,9/1/06,86.79522253
2006,10/1/06,86.95536131
2006,11/1/06,87.03543071
2006,12/1/06,86.95536131
2007,1/1/07,87.03543071
2007,2/1/07,87.67598585
2007,3/1/07,88.316541
2007,4/1/07,88.47667979
2007,5/1/07,88.71688797
2007,6/1/07,88.47667979
2007,7/1/07,88.47667979
2007,8/1/07,88.07633282
2007,9/1/07,88.3966104
2007,10/1/07,88.3966104
2007,11/1/07,88.63681858
2007,12/1/07,88.87702676
2008,1/1/08,88.71688797
2008,2/1/08,89.11723494
2008,3/1/08,89.27737372
2008,4/1/08,89.83785948
2008,5/1/08,90.7986922
2008,6/1/08,91.11896977
2008,7/1/08,91.19903917
2008,8/1/08,90.71862281
2008,9/1/08,91.11896977
2008,10/1/08,90.39834523
2008,11/1/08,89.99799827
2008,12/1/08,89.5175819
2009,1/1/09,89.43751251
2009,2/1/09,89.99799827
2009,3/1/09,90.23820645
2009,4/1/09,90.39834523
2009,5/1/09,91.19903917
2009,6/1/09,91.51931674
2009,7/1/09,91.11896977
2009,8/1/09,91.27910856
2009,9/1/09,91.11896977
2009,10/1/09,91.03890038
2009,11/1/09,91.59938613
2009,12/1/09,91.27910856
2010,1/1/10,91.27910856
2010,2/1/10,91.43924735
2010,3/1/10,91.67945553
2010,4/1/10,91.91966371
2010,5/1/10,91.9997331
2010,6/1/10,91.91966371
2010,7/1/10,91.67945553
2010,8/1/10,91.67945553
2010,9/1/10,91.91966371
2010,10/1/10,92.32001068
2010,11/1/10,92.56021886
2010,12/1/10,92.72035764
2011,1/1/11,93.12070461
2011,2/1/11,93.2808434
2011,3/1/11,94.56195369
2011,4/1/11,94.72209248
2011,5/1/11,94.96230066
2011,6/1/11,94.40181491
2011,7/1/11,94.4818843
2011,8/1/11,94.64202309
2011,9/1/11,94.80216187
2011,10/1/11,95.12243945
2011,11/1/11,95.28257823
2011,12/1/11,94.80216187
2012,1/1/12,95.60285581
2012,2/1/12,96.08327217
2012,3/1/12,96.40354974
2012,4/1/12,96.80389671
2012,5/1/12,96.64375792
2012,6/1/12,96.24341096
2012,7/1/12,96.24341096
2012,8/1/12,96.48361914
2012,9/1/12,96.48361914
2012,10/1/12,96.80389671
2012,11/1/12,96.72382732
2012,12/1/12,96.16334156
2013,1/1/13,96.16334156
2013,2/1/13,97.44445186
2013,3/1/13,97.20424368
2013,4/1/13,97.20424368
2013,5/1/13,97.36438246
2013,6/1/13,97.20424368
2013,7/1/13,97.28431307
2013,8/1/13,97.28431307
2013,9/1/13,97.28431307
2013,10/1/13,97.20424368
2013,11/1/13,97.36438246
2013,12/1/13,97.04410489
2014,1/1/14,97.28431307
2014,2/1/14,97.92486822
2014,3/1/14,98.1650764
2014,4/1/14,98.64549276
2014,5/1/14,98.88570094
2014,6/1/14,98.96577033
2014,7/1/14,98.88570094
2014,8/1/14,99.04583973
2014,9/1/14,99.12590912
2014,10/1/14,99.3661173
2014,11/1/14,99.12590912
2014,12/1/14,98.40528458
2015,1/1/15,98.40528458
2015,2/1/15,99.3661173
2015,3/1/15,99.92660306
2015,4/1/15,100.0066724
2015,5/1/15,100.4070194
2015,6/1/15,100.32695
2015,7/1/15,100.32695
2015,8/1/15,100.32695
2015,9/1/15,100.32695
2015,10/1/15,100.5671582
2015,11/1/15,100.1668112
2015,12/1/15,99.84653366
2016,1/1/16,99.92660306
2016,2/1/16,100.4070194
2016,3/1/16,100.727297
2016,4/1/16,101.0475746
2016,5/1/16,101.3678521
2016,6/1/16,101.0475746
2016,7/1/16,100.8073664
2016,8/1/16,100.727297
2016,9/1/16,101.2077134
2016,10/1/16,101.127644
2016,11/1/16,100.8073664
2016,12/1/16,100.4870888
2017,1/1/17,101.0475746
2017,2/1/17,101.4479215
2017,3/1/17,101.6881297
2017,4/1/17,102.0084073
2017,5/1/17,102.1685461
2017,6/1/17,101.8482685
2017,7/1/17,101.9283379
2017,8/1/17,102.0084073
2017,9/1/17,102.1685461
2017,10/1/17,102.2486155
2017,11/1/17,102.568893
2017,12/1/17,102.4087543
2018,1/1/18,102.6489624
2018,2/1/18,103.2094482
2018,3/1/18,103.369587
2018,4/1/18,103.6097952
2018,5/1/18,103.7699339
2018,6/1/18,103.6898645
2018,7/1/18,104.1702809
2018,8/1/18,104.0902115
2018,9/1/18,104.0101421
2018,10/1/18,104.0902115
2018,11/1/18,103.6898645
2018,12/1/18,103.8500033