year,date,us_cpi
2017,1/1/17,102.4563639
2017,2/1/17,102.7787036
2017,3/1/17,102.8622419
2017,4/1/17,103.1672834
2017,5/1/17,103.2554627
2017,6/1/17,103.3491269
2017,7/1/17,103.277824
2017,8/1/17,103.5870845
2017,9/1/17,104.1355683
2017,10/1/17,104.0697503
2017,11/1/17,104.0722817
2017,12/1/17,104.0111047
2018,1/1/18,104.5777307
2018,2/1/18,105.0519583
2018,3/1/18,105.289494
2018,4/1/18,105.7080294
2018,5/1/18,106.1476603
2018,6/1/18,106.3168465
2018,7/1/18,106.324019
2018,8/1/18,106.3830864
2018,9/1/18,106.5067063
2018,10/1/18,106.6948784
2018,11/1/18,106.3375201
2018,12/1/18,105.997882