Year,exchrate
2018,1.25
2018,1.25
2018,1.25
2018,1.24
2018,1.24
2018,1.25
2018,1.25
2018,1.25
2018,1.25
2018,1.24
2018,1.24
2018,1.24
2018,1.25
2018,1.25
2018,1.25
2018,1.24
2018,1.23
2018,1.23
2018,1.23
2018,1.23
2018,1.23
2018,1.23
2018,1.24
2018,1.25
2018,1.25
2018,1.25
2018,1.26
2018,1.26
2018,1.26
2018,1.26
2018,1.26
2018,1.25
2018,1.25
2018,1.26
2018,1.27
2018,1.27
2018,1.27
2018,1.27
2018,1.27
2018,1.28
2018,1.28
2018,1.29
2018,1.30
2018,1.29
2018,1.30
2018,1.29
2018,1.28
2018,1.28
2018,1.29
2018,1.29
2018,1.31
2018,1.31
2018,1.31
2018,1.31
2018,1.30
2018,1.29
2018,1.29
2018,1.29
2018,1.28
2018,1.29
2018,1.29
2018,1.29
2018,1.29
2018,1.28
2018,1.28
2018,1.28
2018,1.28
2018,1.27
2018,1.26
2018,1.26
2018,1.26
2018,1.26
2018,1.26
2018,1.25
2018,1.26
2018,1.26
2018,1.27
2018,1.28
2018,1.28
2018,1.29
2018,1.29
2018,1.29
2018,1.28
2018,1.29
2018,1.28
2018,1.29
2018,1.28
2018,1.29
2018,1.30
2018,1.29
2018,1.28
2018,1.28
2018,1.28
2018,1.29
2018,1.28
2018,1.28
2018,1.29
2018,1.28
2018,1.28
2018,1.29
2018,1.29
2018,1.30
2018,1.30
2018,1.28
2018,1.30
2018,1.29
2018,1.29
2018,1.30
2018,1.29
2018,1.30
2018,1.30
2018,1.30
2018,1.30
2018,1.30
2018,1.31
2018,1.32
2018,1.32
2018,1.33
2018,1.33
2018,1.33
2018,1.33
2018,1.33
2018,1.33
2018,1.33
2018,1.33
2018,1.31
2018,1.32
2018,1.32
2018,1.31
2018,1.31
2018,1.31
2018,1.31
2018,1.31
2018,1.32
2018,1.32
2018,1.31
2018,1.32
2018,1.32
2018,1.33
2018,1.32
2018,1.32
2018,1.32
2018,1.31
2018,1.31
2018,1.31
2018,1.30
2018,1.30
2018,1.30
2018,1.30
2018,1.30
2018,1.30
2018,1.30
2018,1.31
2018,1.30
2018,1.31
2018,1.31
2018,1.31
2018,1.32
2018,1.31
2018,1.31
2018,1.31
2018,1.30
2018,1.30
2018,1.31
2018,1.30
2018,1.30
2018,1.29
2018,1.29
2018,1.30
2018,1.31
2018,1.32
2018,1.32
2018,1.32
2018,1.32
2018,1.32
2018,1.31
2018,1.30
2018,1.30
2018,1.30
2018,1.30
2018,1.30
2018,1.29
2018,1.29
2018,1.29
2018,1.29
2018,1.29
2018,1.30
2018,1.30
2018,1.29
2018,1.28
2018,1.28
2018,1.28
2018,1.29
2018,1.29
2018,1.30
2018,1.30
2018,1.30
2018,1.30
2018,1.30
2018,1.29
2018,1.30
2018,1.31
2018,1.31
2018,1.31
2018,1.31
2018,1.30
2018,1.31
2018,1.31
2018,1.31
2018,1.31
2018,1.31
2018,1.31
2018,1.31
2018,1.31
2018,1.31
2018,1.31
2018,1.31
2018,1.32
2018,1.32
2018,1.32
2018,1.32
2018,1.32
2018,1.32
2018,1.32
2018,1.33
2018,1.32
2018,1.32
2018,1.33
2018,1.33
2018,1.33
2018,1.33
2018,1.32
2018,1.32
2018,1.34
2018,1.33
2018,1.34
2018,1.34
2018,1.33
2018,1.33
2018,1.34
2018,1.34
2018,1.35
2018,1.34
2018,1.35
2018,1.36
2018,1.36
2018,1.37
2018,1.36
2018,1.36
2019,1.36
2019,1.35
2019,1.34
2019,1.33
2019,1.33
2019,1.32
2019,1.32
2019,1.33
2019,1.33
2019,1.32
2019,1.33
2019,1.33
2019,1.33
2019,1.34
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.32
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.32
2019,1.33
2019,1.33
2019,1.33
2019,1.32
2019,1.32
2019,1.33
2019,1.33
2019,1.32
2019,1.32
2019,1.32
2019,1.32
2019,1.32
2019,1.31
2019,1.32
2019,1.33
2019,1.33
2019,1.34
2019,1.34
2019,1.34
2019,1.34
2019,1.34
2019,1.34
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.34
2019,1.34
2019,1.34
2019,1.34
2019,1.34
2019,1.34
2019,1.34
2019,1.33
2019,1.34
2019,1.33
2019,1.34
2019,1.34
2019,1.33
2019,1.33
2019,1.33
2019,1.34
2019,1.33
2019,1.34
2019,1.34
2019,1.33
2019,1.34
2019,1.34
2019,1.34
2019,1.34
2019,1.35
2019,1.35
2019,1.35
2019,1.34
2019,1.34
2019,1.34
2019,1.35
2019,1.34
2019,1.34
2019,1.35
2019,1.35
2019,1.35
2019,1.34
2019,1.35
2019,1.35
2019,1.34
2019,1.34
2019,1.35
2019,1.34
2019,1.34
2019,1.34
2019,1.35
2019,1.35
2019,1.35
2019,1.35
2019,1.35
2019,1.35
2019,1.35
2019,1.34
2019,1.34
2019,1.34
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.34
2019,1.34
2019,1.34
2019,1.34
2019,1.32
2019,1.32
2019,1.32
2019,1.32
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.30
2019,1.30
2019,1.30
2019,1.30
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.32
2019,1.32
2019,1.32
2019,1.31
2019,1.32
2019,1.32
2019,1.32
2019,1.33
2019,1.33
2019,1.32
2019,1.32
2019,1.32
2019,1.32
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.32
2019,1.32
2019,1.32
2019,1.31
2019,1.31
2019,1.32
2019,1.32
2019,1.33
2019,1.32
2019,1.32
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.32
2019,1.32
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.32
2019,1.32
2019,1.32
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.31
2019,1.32
2019,1.31
2019,1.31
2019,1.31
2019,1.32
2019,1.32
2019,1.32
2019,1.32
2019,1.32
2019,1.32
2019,1.33
2019,1.32
2019,1.32
2019,1.32
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.33
2019,1.32
2019,1.32
2019,1.33
2019,1.32
2019,1.32
2019,1.32
2019,1.32
2019,1.32
2019,1.32
2019,1.32
2019,1.31
2019,1.31
2019,1.32
2019,1.32
2019,1.32
2019,1.31
2019,1.31
2019,1.31
2019,1.30