obsid,lnwtp,q0,q1,canada
1011,5.546188234,0,2499,0
1021,3.568103799,11374,11407,0
1022,3.765670894,11343,11407,0
1023,3.930840393,11306,11407,0
1024,4.104773145,11272,11407,0
1041,0.910301473,3468,3968,0
1042,2.227981557,69580,70080,0
1043,1.94423838,21716,22216,0
1044,3.17915591,908,1408,0
1061,4.972531245,10000,13000,0
1082,5.469839953,32362,33862,0
1084,6.675349357,522667,524167,0
1091,5.732831234,11404,11407,0
1092,5.789601509,11402,11407,0
1093,5.838053731,11400,11407,0
1094,5.889296977,11398,11407,0
1095,5.970774683,11395,11407,0
1101,6.773879252,1381022,1829022,0
1131,4.434526181,219890,220000,0
1141,2.365940123,5838,5867,0
1142,2.681576864,5822,5867,0
1143,2.961710827,5807,5867,0
1151,5.836251457,27000,85000,0
1152,6.339358896,85000,125000,0
1161,7.847218315,2131000,2382000,0
1162,7.191140787,2131000,2382000,0
1171,4.118268488,34000,50000,0
1172,3.996035334,34000,75000,0
1173,4.122281846,34000,100000,0
1191,4.559574193,9000,10125,0
1201,3.163607115,36000,41000,0
1221,4.962305017,212378,212708,0
1241,5.386045754,23860,24860,0
1242,5.471630934,23860,26860,0
1243,5.552809854,23860,28860,0
1251,3.844083829,6000,8500,0
1252,3.555641155,6000,8500,0
1261,6.246204241,988422,1976843,1
1262,6.209954085,988422,1976843,1
1271,5.670329098,11997,14520,1
1281,5.827076224,949184,1044102,1
1282,5.849029347,949184,1084782,1
1283,5.870867713,949184,1125461,1
1284,5.912635062,949184,1206820,1
1285,5.991332038,949184,1355977,1
1291,4.649608035,4200,8400,1
1301,3.608894245,0,5884,1
1302,3.121245355,0,11300,1
1303,3.363806992,0,7408,1
1304,2.844851243,0,14318,1
1311,2.547176976,1307159,1413412,1
1312,3.249754145,1307159,1616034,1
1321,6.836612598,29652645.8,129948359.5,1