Author,studyid,obsid,ori_wtp_us_in_lg
us_study,101,1011,5.2649188
us_study,102,1021,3.3185289
us_study,102,1022,3.509584
us_study,102,1023,3.6701894
us_study,102,1024,3.8400474
us_study,104,1041,1.052951
us_study,104,1042,2.075609
us_study,104,1043,1.8322099
us_study,104,1044,2.9466479
us_study,106,1061,4.6952591
us_study,108,1082,5.1889806
us_study,108,1084,6.3905754
us_study,109,1091,5.4506812
us_study,109,1092,5.5072145
us_study,109,1093,5.5554748
us_study,109,1094,5.6065249
us_study,109,1095,5.6877151
us_study,110,1101,6.4889479
us_study,113,1131,4.1637449
us_study,114,1141,2.1972654
us_study,114,1142,2.4823668
us_study,114,1143,2.741878
us_study,115,1151,5.5536795
us_study,115,1152,6.0552545
us_study,116,1161,7.561286
us_study,116,1162,6.9056907
us_study,117,1171,3.8532546
us_study,117,1172,3.7337754
us_study,117,1173,3.857183
us_study,119,1191,4.2869635
us_study,120,1201,2.9319217
us_study,122,1221,4.6851268
us_study,124,1241,5.1056738
us_study,124,1242,5.1907616
us_study,124,1243,5.2715063
us_study,125,1251,3.5857387
us_study,125,1252,3.3065202
he,126,1261,482.29
he,126,1262,465.12
lantz,127,1271,254.5
pattisson,128,1281,295.1
pattisson,128,1282,301.65
pattisson,128,1283,308.31
pattisson,128,1284,321.46
pattisson,128,1285,347.78
tkac,129,1291,79.2
trenholm,130,1301,31.56
trenholm,130,1302,19.38
trenholm,130,1303,24.7
trenholm,130,1304,14.7
rudd,131,1311,11.61
rudd,131,1312,23.44
vossler,132,1321,886.98